Date,Artist Name - Headliner,Artist Name - Opener(s),Venue,City/State,Festival,Attended With,Reference
6/6/1994,Pink Floyd,,Carrier Dome,"Syracuse, NY",No,"Dad, Adam",
8/7/1994,Collective Soul,,Vernon Downs,"Vernon, NY",No,"Dad, Adam",
11/12/1994,Candlebox,The Flaming Lips,Landmark Theatre,"Syracuse, NY",No,"Adam, Gates",
2/14/1995,Slayer,Fear Factory,Harro East Ballroom,"Rochester, NY",No,"Tim, Gates",
1/15/1996,Marilyn Manson,,Lost Horizon,"Syracuse, NY",No,Adam,
1/25/1996,Ozzy Osbourne,"Korn, Life of Agony",War Memorial Auditorium,"Syracuse, NY",No,Tim,
3/3/1996,Crowbar,,Lost Horizon,"Syracuse, NY",No,Tim,
5/18/1997,Neurosis,"Brutal Truth, EyeHateGod, Soilent Green",Lost Horizon,"Syracuse, NY",No,Tim,
8/6/1997,Coal Chamber,,Lost Horizon,"Syracuse, NY",No,Tim,
11/25/1998,Fear Factory,,Lost Horizon,"Syracuse, NY",No,"Tim, Gates",
7/23/1999 – 7/25/1999,Woodstock '99,"Rage Against the Machine, Megadeth, ICP, Sevendust, Godsmack",Griffiss AFB,"Rome, NY",Yes,Dewey,
11/30/2000,Deicide,Marduk,Planet 505,"Syracuse, NY",No,"Tim, Kevin",
1/18/2001,Insane Clown Posse,,Water St. Music Hall,"Rochester, NY",No,,
3/11/2001,Pantera,"Soulfly, Morbid Angel",First Union Spectrum,"Philadelphia, PA",No,Tim,
10/12/2001,Six Feet Under,"Skinless, God Forbid",The Icon,"Buffalo, NY",No,Tim,
4/18/2002,Gwar,,Lost Horizon,"Syracuse, NY",No,Tim,
6/9/2002,Superjoint Ritual,"Skinlab, Speedealer",Trocadero Theatre,"Philadelphia, PA",No,Tim,
7/9/2002,Down,,Water Street Music Hall,"Rochester, NY",No,Tim,
10/13/2002,Superjoint Ritual,,The Chance,"Poughkeepsie, NY",No,"Tim, Kevin",
11/12/2002,Gwar,,Showplace Theatre,"Buffalo, NY",No,Karin,
11/20/2002,Down,,Trocadero Theatre,"Philadelphia, PA",No,Tim,
5/3/2003,Soulfly,"Authority Zero, Depswa",Showplace Theatre,"Buffalo, NY",No,Karin,
5/12/2003,Soulfly,,Recher Theatre,"Towson, MD",No,,
8/11/2003,Ozzfest 2003,"Ozzy Osbourne, Korn, Marilyn Manson",Darien Lake PAC,"Darien Center, NY",Yes (Ozzfest),,
11/14/2003 – 11/15/2003,New Jersey Metal and Hardcore Festival,"Deicide, Nile, Superjoin Ritual, Hypocrisy, Suffocation, Morbid Angel",Convention Hall,"Asbury Park, NJ",Yes,Tim,
2/4/2004,Six Feet Under,,Recher Theatre,"Towson, MD",No,,
4/4/2004,Dying Fetus,(Stop at Nothing Lineup),Ottobar,"Baltimore, MD",No,,
4/15/2004,Morbid Angel,"Suffocation, Satyricon, Premonitions of War",Thunderdome,"Baltimore, MD",No,,
5/30/2004,Suffocation,Behemoth,Thunderdome,"Baltimore, MD",No,,
8/8/2004,Machine Head,(Burn My Eyes Set) Chimaira,TLA,"Philadelphia, PA",No,Tim,
8/24/2004,Ozzfest 2004,"Black Sabbath, Judas Priest, Slayer",Nissan Pavilion,"Bristow, VA",Yes (Ozzfest),"Tim, Dewey",
8/29/2004,Six Feet Under,Internal Bleeding,Recher Theatre,"Towson, MD",No,,
9/18/2004,Soulfly,,Recher Theatre,"Towson, MD",No,,
10/23/2004,Soulfly,,Recher Theatre,"Towson, MD",No,Dewey,
12/8/2004,Cannibal Corpse,The Red Chord,Recher Theatre,"Towson, MD",No,,
2/25/2005,Morbid Angel,Soulfy,Trocadero Theatre,"Philadelphia, PA",No,Wallace,
6/9/2005,Corrosion of Conformity,"Crowbar, Alabama Thunderpussy",Recher Theatre,"Towson, MD",No,Tim,
6/26/2005,Sounds of the Underground,"Clutch, Gwar, Opeth, SYL, Lamb of God",Festival Pier,"Philadelphia, PA",Yes (SOU),Tim,
7/24/2005,Ozzfest 2005,"Black Sabbath, Iron Maiden",Nissan Pavilion,"Bristow, VA",Yes (Ozzfest),Tim,
8/14/2005,Six Feet Under,,Recher Theatre,"Towson, MD",No,,
11/15/2005,Fear Factory,Strapping Young Lad,Recher Theatre,"Towson, MD",No,,
5/26/2006 – 5/28/2006,MDF IV,"Haemorrhage, Vital Remains, Necrophagist, Demilich",Sonar,"Baltimore, MD",Yes (MDF IV),,
7/6/2006,Soilent Green,,Ottobar,"Baltimore, MD",No,,
7/14/2006,Emperor,,B.B. King Blues Club & Grill,"New York City, NY",No,Tim,
